,l,k,m,ic.cohort.biomass.gm
1,1,AcerRubr,40,908.5955279
2,1,AcerRubr,30,435.7481151
3,1,AcerRubr,20,18.88691521
4,1,CornFlor,20,29.00490549
5,1,CornFlor,10,14.83971909
6,2,PinuTaed,30,516.6920374
7,2,PinuTaed,40,782.4579157
8,2,PinuTaed,20,67.45326859
9,2,LiquStyr,50,66.77873591
10,2,LiquStyr,40,48.56635339
11,2,LiriTuli,70,462.7294225
12,2,LiriTuli,40,29.67943818
13,2,PinuVirg,40,215.1759268
14,2,PrunSero,60,197.638077
15,2,PrunSero,30,13.49065372
16,2,OxydArbo,50,104.5525663
17,2,OxydArbo,40,66.10420322
18,2,CornFlor,20,41.14649384
19,2,NyssSylv,20,29.67943818
20,3,FaguGran,20,37.77383041
21,3,OxydArbo,20,220.5721883
22,3,OxydArbo,30,133.5574718
23,3,CaryGlab,20,26.98130744
24,3,AcerRubr,50,488.3616646
25,3,QuerPrin,30,172.6803676
26,3,QuerPrin,20,54.63714756
27,3,CornFlor,10,13.49065372
28,3,PinuTaed,80,1463.061396
29,3,LiquStyr,30,44.51915727
30,3,CaryAlba,50,375.0401734
31,3,NyssSylv,10,13.49065372
32,3,QuerCocc,20,57.3352783
33,3,QuerRubr,140,1829.332644
34,4,LiriTuli,20,123.4394815
35,4,LiriTuli,50,1839.450634
36,4,LiriTuli,30,359.5259216
37,4,LiriTuli,40,192.9163482
38,4,CaryAlba,40,283.9782608
39,4,OxydArbo,20,157.1661158
40,4,PinuVirg,30,1336.249251
41,4,PinuVirg,20,13.49065372
42,4,QuerAlba,40,999.6574405
43,4,PrunSero,30,171.3313022
44,4,AcerRubr,30,920.0625836
45,4,QuerFalc,30,710.9574509
46,4,QuerFalc,40,860.0291745
47,4,QuerCocc,30,225.9684498
48,4,CaryGlab,50,360.874987
49,4,CornFlor,20,37.77383041
50,5,PinuVirg,40,69.47686665
51,5,PinuVirg,90,2140.966745
52,5,PinuVirg,100,215.8504595
53,5,LiriTuli,40,159.8642466
54,5,LiriTuli,50,113.3214912
55,5,LiriTuli,140,475.5455436
56,5,OxydArbo,30,210.454198
57,5,LiquStyr,30,51.26448413
58,5,PinuTaed,40,104.5525663
59,5,AcerRubr,50,176.7275637
60,5,AcerRubr,30,49.91541876
61,5,AcerRubr,20,13.49065372
62,5,CornFlor,20,18.88691521
63,6,PinuStro,30,224.6193844
64,6,PinuStro,40,337.9408756
65,6,LiriTuli,30,103.8780336
66,6,LiriTuli,20,55.31168024
67,6,LiriTuli,40,253.6242899
68,6,LiriTuli,10,13.49065372
69,6,CornFlor,20,32.37756892
70,6,CornFlor,10,40.47196115
71,6,OxydArbo,20,32.37756892
72,6,OxydArbo,30,85.66565111
73,6,OxydArbo,10,13.49065372
74,6,AcerRubr,30,93.76004334
75,6,AcerRubr,20,50.58995144
76,6,AcerRubr,40,196.2890116
77,6,QuerCocc,20,125.4630796
78,6,PinuVirg,30,49.91541876
79,6,NyssSylv,20,76.22219351
80,6,QuerPrin,20,40.47196115
81,6,TsugCana,50,472.1728801
82,7,AcerRubr,30,115.3450893
83,7,AcerRubr,40,1335.574718
84,7,AcerRubr,50,252.2752245
85,7,LiriTuli,30,41.82102653
86,7,LiriTuli,80,304.888774
