Time, Species, ClimateRegion, AvgTempMult, AvgMinJanTempMult, AvgSoilMoistureMult, AvgProbEst
1, CaryOvat, eco1,0.82,0.83,0.80,0.80
1, CaryAlba, eco1,0.81,0.83,0.80,0.79
1, CornFlor, eco1,0.92,0.97,0.95,0.90
1, FraxPenn, eco1,0.82,0.83,0.78,0.78
1, FraxAmer, eco1,0.96,0.97,0.95,0.95
1, FaguGran, eco1,0.97,0.97,0.95,0.95
1, JuglNigr, eco1,0.13,0.13,0.13,0.13
1, HaleDipt, eco1,0.83,0.97,0.96,0.82
1, IlexOpac, eco1,0.83,0.97,0.96,0.82
1, LiriTuli, eco1,0.56,0.64,0.61,0.54
1, LiquStyr, eco1,0.47,0.64,0.63,0.47
1, MagnAcum, eco1,0.72,0.83,0.79,0.69
1, MagnMacr, eco1,0.72,0.83,0.79,0.69
1, NyssSylv, eco1,0.83,0.97,0.96,0.82
1, OxydArbo, eco1,0.83,0.97,0.96,0.82
1, PrunSero, eco1,0.58,0.64,0.63,0.58
1, PrunPenn, eco1,0.00,0.13,0.12,0.00
1, PlanOcid, eco1,0.63,0.64,0.60,0.59
1, QuerAlba, eco1,0.82,0.82,0.81,0.81
1, QuerCocc, eco1,0.63,0.64,0.63,0.62
1, QuerFalc, eco1,0.61,0.00,0.82,0.00
1, QuerRubr, eco1,0.71,0.83,0.81,0.70
1, QuerPrin, eco1,0.68,0.83,0.81,0.67
1, QuerVelu, eco1,0.64,0.64,0.63,0.63
1, QuerStel, eco1,0.47,0.64,0.63,0.47
1, RobiPseu, eco1,0.11,0.13,0.13,0.11
1, SassAlid, eco1,0.55,0.64,0.63,0.54
1, TiliAmer, eco1,0.00,0.66,0.65,0.00
1, TiliAmhe, eco1,0.00,0.66,0.65,0.00
1, CaryGlab, eco1,0.71,0.83,0.80,0.69
1, CaryCodi, eco1,0.13,0.13,0.13,0.13
1, BetuNigr, eco1,0.00,0.13,0.12,0.00
1, BetuLent, eco1,0.00,0.64,0.62,0.00
1, BetuAlle, eco1,0.00,0.83,0.80,0.00
1, AcerPens, eco1,0.93,0.97,0.97,0.93
1, AmelArbo, eco1,0.97,0.97,0.96,0.95
1, AescBuck, eco1,0.15,0.64,0.62,0.15
1, AcerRubr, eco1,0.94,0.97,0.95,0.92
1, AcerSacc, eco1,0.63,0.66,0.66,0.63
1, TsugCana, eco1,0.30,0.66,0.64,0.30
1, PinuVirg, eco1,0.08,0.13,0.13,0.08
1, PinuTaed, eco1,0.05,0.00,0.13,0.00
1, PinuStro, eco1,0.00,0.83,0.81,0.00
1, PinuRigi, eco1,0.00,0.13,0.13,0.00
1, PinuPung, eco1,0.00,0.64,0.63,0.00
1, FrasFirr, eco1,0.00,0.67,0.62,0.00
1, PiceRube, eco1,0.00,0.97,0.96,0.00
1, PinuEnch, eco1,0.11,0.13,0.13,0.11
1, CastDent, eco1,0.94,0.97,0.96,0.93
2, CaryOvat, eco1,0.14,0.14,0.13,0.13
2, CaryAlba, eco1,0.14,0.14,0.13,0.13
2, CornFlor, eco1,0.40,0.41,0.40,0.39
2, FraxPenn, eco1,0.14,0.14,0.12,0.12
2, FraxAmer, eco1,0.41,0.41,0.40,0.40
2, FaguGran, eco1,0.40,0.41,0.40,0.39
2, JuglNigr, eco1,0.01,0.01,0.01,0.01
2, HaleDipt, eco1,0.38,0.41,0.40,0.37
2, IlexOpac, eco1,0.38,0.41,0.40,0.37
2, LiriTuli, eco1,0.06,0.06,0.06,0.05
2, LiquStyr, eco1,0.05,0.06,0.06,0.05
2, MagnAcum, eco1,0.13,0.14,0.13,0.12
2, MagnMacr, eco1,0.13,0.14,0.13,0.12
2, NyssSylv, eco1,0.38,0.41,0.40,0.37
2, OxydArbo, eco1,0.38,0.41,0.40,0.37
2, PrunSero, eco1,0.06,0.06,0.06,0.06
2, PrunPenn, eco1,0.00,0.01,0.01,0.00
2, PlanOcid, eco1,0.06,0.06,0.06,0.06
2, QuerAlba, eco1,0.14,0.14,0.13,0.13
2, QuerCocc, eco1,0.06,0.06,0.06,0.06
2, QuerFalc, eco1,0.12,0.14,0.13,0.12
2, QuerRubr, eco1,0.10,0.13,0.13,0.10
2, QuerPrin, eco1,0.08,0.14,0.13,0.08
2, QuerVelu, eco1,0.06,0.06,0.06,0.06
2, QuerStel, eco1,0.06,0.06,0.06,0.05
2, RobiPseu, eco1,0.01,0.01,0.01,0.01
2, SassAlid, eco1,0.06,0.06,0.06,0.06
