Time,ClimateRegionName,ClimateRegionIndex,NumSites,NEEC,SOMTC,AGB,AG_NPPC,BG_NPPC,Litterfall,AgeMortality,MineralN,TotalN,GrossMineralization,C_LiveLeaf,C_LiveFRoot,C_LiveWood,C_LiveCRoot,C_DeadWood,C_DeadCRoot,C_DeadLeaf_Struc,C_DeadLeaf_Meta,C_DeadFRoot_Struc,C_DeadFRoot_Meta,C_SOM1surf,C_SOM1soil,C_SOM2,C_SOM3,N_Leaf,N_FRoot,N_Wood,N_CRoot,N_DeadWood,N_DeadCRoot,N_DeadLeaf_Struc,N_DeadLeaf_Meta,N_DeadFRoot_Struc,N_DeadFRoot_Meta,N_SOM1surf,N_SOM1soil,N_SOM2,N_SOM3,SurfStrucNetMin,SurfMetaNetMin,SoilStrucNetMin,SoilMetaNetMin,SOM1surfNetMin,SOM1soilNetMin,SOM2NetMin,SOM3NetMin,TotalNdep,StreamC,StreamN,FireCEfflux,FireNEfflux,Nuptake,Nresorbed,TotalSoilN,Nvol,FrassC,
0, eco1, 0, 31132, 0, 3566.7, 12284.5, 0, 0, 0, 0, 2, 291.4, 0, 0, 0, 5773.7, 723.1, 1, 1, 0.1, 0, 0, 0, 35.7, 71.3, 2104.3, 1355.3, 0, 0, 26.4, 8.2, 0, 0, 0, 0, 0, 0, 3.6, 7.1, 84.2, 159.9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 256.8, 0, 0, 
10, eco1, 0, 31132, -28.6, 3792.2, 11313.5, 262.5, 39.1, 114.8, 214.9, 3.45, 298.4, 8.9, 126.1, 24.1, 5171.1, 628.1, 995.7, 148.1, 481.8, 118, 59.9, 14.4, 147.4, 72.5, 2214.5, 1357.8, 3.5, 0.6, 21.6, 6.7, 5.1, 1.8, 2.4, 3.8, 0.3, 0.6, 4.4, 6.9, 76.8, 160.3, 0, -0.6, 0, -0.1, 3.1, 2.4, -1.2, 0, 33.87, 0.15, 0.48, 0, 0, 4.2, 2, 259.1, 2.36, 0, 
20, eco1, 0, 31132, 18.9, 4313.8, 10860.3, 233.2, 35.4, 98.8, 201.3, 3.87, 300.6, 8.8, 138.8, 26.7, 4939.1, 595.7, 1101.7, 161.6, 914.1, 114.8, 118.3, 15.4, 167.8, 87.1, 2698.1, 1360.8, 3.6, 0.6, 19.4, 6.1, 5.2, 1.9, 4.6, 3.8, 0.6, 0.7, 4.5, 8.6, 76.6, 160.7, 0.1, -0.5, 0, -0.1, 2.9, 2.7, -1.9, 0, 33.87, 0.23, 0.56, 0, 0, 3.6, 1.5, 263.9, 2.79, 0, 
30, eco1, 0, 31132, 21.8, 4783, 10292.9, 248.8, 38.2, 121.1, 201.1, 3.51, 302.8, 9.4, 147.2, 28.7, 4656.9, 567.7, 1106.1, 159.8, 1185.9, 119.7, 158.2, 16.5, 173.1, 98.6, 3147.1, 1364.3, 3.7, 0.7, 17.7, 5.7, 4.9, 1.8, 5.9, 3.9, 0.8, 0.7, 4.4, 9.7, 78, 161.3, 0.1, -0.6, 0, -0.1, 2.9, 3.3, -2.5, 0, 34.04, 0.17, 0.3, 0, 0, 4, 1.9, 268.3, 2.11, 0, 
40, eco1, 0, 31132, -86, 5257.4, 10525.8, 413, 57.7, 176.8, 221.9, 3.48, 311.9, 12.2, 164.9, 31.4, 4747.7, 582.5, 1144.8, 163, 1486.7, 150, 200.1, 19.4, 190.4, 111.4, 3587.4, 1368.2, 4.3, 0.7, 18.1, 5.8, 4.9, 1.8, 7.4, 4.9, 1, 0.8, 5.4, 11.1, 80.4, 161.9, 0.1, -0.8, 0, -0.1, 3.9, 4.2, -3.4, 0, 33.99, 0.25, 0.39, 0, 0, 5.2, 3.1, 276.4, 2, 0, 
50, eco1, 0, 31132, -107.2, 5694.8, 10156.5, 434.6, 60.4, 220, 222.8, 3.14, 318.3, 12.1, 166.8, 32.8, 4585.7, 569.9, 1196.8, 169.8, 1649.6, 145.7, 225.9, 19.4, 192, 121.8, 4008.2, 1372.8, 4.1, 0.8, 17.6, 5.7, 5.1, 1.8, 8.3, 4.7, 1.1, 0.8, 4.8, 12.4, 85.3, 162.6, 0.1, -0.7, 0, 0, 3.3, 4.9, -3.6, 0, 33.98, 0.15, 0.19, 0, 0, 5.9, 4, 283.2, 1.79, 0, 
60, eco1, 0, 31132, -76.1, 6104.7, 10102.5, 438.1, 59.1, 191.2, 234.2, 3.24, 326.6, 13.5, 171.6, 32.6, 4554.9, 563.4, 1204.7, 169.4, 1797, 160.3, 246.6, 20, 201.3, 131.9, 4393.5, 1377.9, 4.4, 0.8, 17.3, 5.6, 5, 1.8, 9, 5.1, 1.2, 0.9, 5.5, 13.6, 89.9, 163.3, 0.1, -0.8, 0, 0, 3.9, 5.3, -4.4, 0, 34.16, 0.29, 0.38, 0, 0, 4.9, 3.4, 291.8, 1.91, 0, 
70, eco1, 0, 31132, -72.6, 6451.1, 9737.8, 353.4, 52.2, 145.2, 234, 3.06, 332.3, 10.7, 164.2, 31.9, 4378.5, 541.7, 1273.5, 176.8, 1880.7, 154, 259.5, 20.5, 205.3, 140, 4722.5, 1383.2, 4, 0.7, 16.6, 5.4, 5.2, 1.8, 9.4, 5, 1.3, 0.9, 5.4, 14.5, 94.7, 164.2, 0.1, -0.6, 0, 0, 3, 4.4, -3.7, 0, 33.98, 0.33, 0.21, 0, 0, 5.1, 2.4, 298.4, 1.81, 0, 
80, eco1, 0, 31132, 2.5, 6788.6, 9365.2, 358.8, 55.2, 158.3, 221.4, 3.18, 339.7, 13.2, 173.2, 34.2, 4203.3, 529.2, 1295.7, 181.7, 1964.4, 142, 274, 20.3, 209.2, 149.2, 5041.4, 1388.7, 4.1, 0.8, 16.4, 5.4, 5.3, 1.9, 9.8, 4.7, 1.4, 0.8, 5, 15.6, 100.1, 165, 0.2, -0.7, 0, -0.1, 3.3, 5.8, -4.8, 0, 34.19, 0.22, 0.27, 0, 0, 5.2, 2.6, 305.7, 1.84, 0, 
90, eco1, 0, 31132, -20.8, 7125, 10104.7, 425.2, 61.2, 187.5, 255.3, 3.69, 353.5, 15.7, 189.2, 35.6, 4537.7, 565.9, 1289.8, 179.2, 2133, 174.3, 295.4, 22, 224.1, 157.8, 5348.1, 1395, 4.9, 0.8, 18, 5.8, 5.3, 1.9, 10.7, 5.7, 1.5, 0.9, 6.4, 16.8, 105.2, 166, 0.2, -0.9, 0, -0.1, 4.5, 6.4, -5.5, 0, 34.02, 0.42, 0.42, 0, 0, 5.4, 3.2, 316.8, 2.09, 0, 
