Time, Species, ClimateRegion, NumberSitesChecked, AvgTempMult, AvgMinJanTempMult, AvgSoilMoistureMult, AvgProbEst
10, CaryOvat, eco2, 2,0.586,1.000,1.000,0.586
10, CaryOvat, eco3, 2303,0.943,1.000,0.998,0.941
10, CaryOvat, eco4, 2931,0.839,1.000,0.999,0.838
10, CaryOvat, eco5, 9446,0.606,1.000,1.000,0.606
10, CaryAlba, eco2, 2,0.433,1.000,1.000,0.433
10, CaryAlba, eco3, 2291,0.897,1.000,0.998,0.895
10, CaryAlba, eco4, 2928,0.755,1.000,0.999,0.754
10, CaryAlba, eco5, 9465,0.458,1.000,1.000,0.458
10, CornFlor, eco2, 3,0.387,1.000,1.000,0.387
10, CornFlor, eco3, 6396,0.838,1.000,0.998,0.836
10, CornFlor, eco4, 3839,0.691,1.000,0.999,0.691
10, CornFlor, eco5, 11421,0.410,1.000,1.000,0.410
10, FraxPenn, eco2, 3,0.776,1.000,1.000,0.776
10, FraxPenn, eco3, 2297,0.975,1.000,0.998,0.972
10, FraxPenn, eco4, 2926,0.919,1.000,0.999,0.918
10, FraxPenn, eco5, 9440,0.788,1.000,1.000,0.788
10, FraxAmer, eco2, 3,0.659,1.000,1.000,0.659
10, FraxAmer, eco3, 6399,0.939,1.000,0.998,0.937
10, FraxAmer, eco4, 3851,0.854,1.000,0.999,0.853
10, FraxAmer, eco5, 11403,0.674,1.000,1.000,0.674
10, FaguGran, eco2, 4,0.756,1.000,1.000,0.756
10, FaguGran, eco3, 6400,0.979,1.000,0.998,0.977
10, FaguGran, eco4, 3841,0.915,1.000,0.999,0.914
10, FaguGran, eco5, 11411,0.752,1.000,1.000,0.752
10, JuglNigr, eco2, 1,0.555,1.000,1.000,0.555
10, JuglNigr, eco3, 83,0.991,1.000,0.988,0.980
10, JuglNigr, eco4, 262,0.899,1.000,0.998,0.898
10, JuglNigr, eco5, 1011,0.590,1.000,1.000,0.590
10, HaleDipt, eco2, 3,0.320,1.000,1.000,0.320
10, HaleDipt, eco3, 6368,0.733,1.000,0.999,0.732
10, HaleDipt, eco4, 3838,0.590,1.000,0.999,0.589
10, HaleDipt, eco5, 11425,0.340,0.998,1.000,0.339
10, IlexOpac, eco2, 3,0.320,1.000,1.000,0.320
10, IlexOpac, eco3, 6390,0.733,1.000,0.999,0.732
10, IlexOpac, eco4, 3848,0.590,1.000,0.999,0.590
10, IlexOpac, eco5, 11420,0.340,0.998,1.000,0.339
10, LiriTuli, eco2, 1,0.000,1.000,1.000,0.000
10, LiriTuli, eco3, 859,0.171,1.000,0.996,0.169
10, LiriTuli, eco4, 1744,0.001,1.000,1.000,0.001
10, LiriTuli, eco5, 6310,0.000,1.000,1.000,0.000
10, LiquStyr, eco2, 1,0.000,1.000,1.000,0.000
10, LiquStyr, eco3, 872,0.488,1.000,0.996,0.485
10, LiquStyr, eco4, 1741,0.180,0.987,1.000,0.175
10, LiquStyr, eco5, 6268,0.001,0.995,1.000,0.000
10, MagnAcum, eco2, 2,0.057,1.000,1.000,0.057
10, MagnAcum, eco3, 2325,0.697,1.000,0.996,0.694
10, MagnAcum, eco4, 2905,0.482,1.000,0.999,0.481
10, MagnAcum, eco5, 9453,0.088,0.998,1.000,0.088
10, MagnMacr, eco2, 2,0.057,1.000,1.000,0.057
10, MagnMacr, eco3, 2295,0.696,1.000,0.998,0.695
10, MagnMacr, eco4, 2901,0.481,1.000,0.999,0.481
10, MagnMacr, eco5, 9458,0.088,0.998,1.000,0.088
10, NyssSylv, eco2, 3,0.320,1.000,1.000,0.320
10, NyssSylv, eco3, 6403,0.733,1.000,0.998,0.732
10, NyssSylv, eco4, 3845,0.590,1.000,0.999,0.590
10, NyssSylv, eco5, 11411,0.340,0.998,1.000,0.339
10, OxydArbo, eco2, 3,0.320,1.000,1.000,0.320
10, OxydArbo, eco3, 6378,0.733,1.000,0.999,0.732
10, OxydArbo, eco4, 3846,0.589,1.000,0.999,0.589
10, OxydArbo, eco5, 11408,0.340,0.998,1.000,0.339
10, PrunSero, eco2, 2,0.216,1.000,1.000,0.216
10, PrunSero, eco3, 862,0.768,1.000,0.996,0.765
10, PrunSero, eco4, 1754,0.584,1.000,1.000,0.584
10, PrunSero, eco5, 6299,0.245,1.000,1.000,0.245
10, PrunPenn, eco2, 1,0.280,1.000,1.000,0.280
10, PrunPenn, eco3, 73,0.000,1.000,0.986,0.000
10, PrunPenn, eco4, 251,0.000,1.000,1.000,0.000
10, PrunPenn, eco5, 1020,0.224,1.000,1.000,0.224
10, PlanOcid, eco2, 1,0.423,1.000,1.000,0.423
10, PlanOcid, eco3, 884,0.896,1.000,0.996,0.892
10, PlanOcid, eco4, 1750,0.751,1.000,0.999,0.750
10, PlanOcid, eco5, 6285,0.450,1.000,1.000,0.450
10, QuerAlba, eco2, 2,0.553,1.000,1.000,0.553
10, QuerAlba, eco3, 2254,0.931,1.000,0.998,0.929
10, QuerAlba, eco4, 2922,0.819,1.000,1.000,0.819
10, QuerAlba, eco5, 9426,0.574,1.000,1.000,0.574
10, QuerCocc, eco2, 1,0.437,1.000,1.000,0.437
10, QuerCocc, eco3, 881,0.980,1.000,0.996,0.976
10, QuerCocc, eco4, 1759,0.852,1.000,0.999,0.851
10, QuerCocc, eco5, 6293,0.474,1.000,1.000,0.474
10, QuerFalc, eco2, 2,0.000,0.000,1.000,0.000
10, QuerFalc, eco3, 2330,0.484,0.980,0.999,0.470
10, QuerFalc, eco4, 2934,0.179,0.986,1.000,0.173
10, QuerFalc, eco5, 9450,0.001,0.003,1.000,0.000
10, QuerRubr, eco2, 2,0.923,1.000,1.000,0.923
10, QuerRubr, eco3, 2289,0.970,1.000,0.998,0.969
10, QuerRubr, eco4, 2913,0.999,1.000,0.999,0.999
10, QuerRubr, eco5, 9463,0.932,1.000,1.000,0.932
10, QuerPrin, eco2, 2,0.643,1.000,1.000,0.643
10, QuerPrin, eco3, 2328,0.985,1.000,0.998,0.984
10, QuerPrin, eco4, 2925,0.968,1.000,1.000,0.968
10, QuerPrin, eco5, 9445,0.675,1.000,1.000,0.675
10, QuerVelu, eco2, 1,0.554,1.000,1.000,0.554
10, QuerVelu, eco3, 870,0.963,1.000,0.996,0.959
10, QuerVelu, eco4, 1758,0.853,1.000,1.000,0.853
10, QuerVelu, eco5, 6266,0.580,1.000,1.000,0.580
10, QuerStel, eco2, 1,0.000,1.000,1.000,0.000
10, QuerStel, eco3, 880,0.488,1.000,0.996,0.486
