Time,NEEC,SOMTC,AGB,AG_NPPC,MineralN,C_DeadWood,
0, 0, 3566.7, 7922.3, 0, 3.5, 1, 
10, 125.4, 2041.6, 5443.1, 77.4, 7.88, 529.5, 
20, 24.5, 1783.4, 4618.6, 136.9, 4.96, 481.5, 
30, 42.7, 1736.6, 4482.9, 105.9, 4.2, 449, 
40, 24, 1724.3, 4252, 113.2, 3.87, 438.9, 
50, -122.1, 1709.7, 4089.3, 257.9, 3.39, 406.3, 
60, 5.1, 1699.6, 3894.9, 133.6, 3.88, 389.2, 
70, -125.8, 1702.4, 4010, 255.2, 3.36, 387.7, 
80, 59.3, 1696.4, 3651.9, 58.2, 4.08, 389.4, 
90, -36, 1679, 3501, 152.9, 3.54, 358.9, 
100, 0.2, 1680.2, 3589.9, 119, 4.05, 353, 
110, 60.1, 1637.1, 2559.7, 34.8, 4.24, 274.5, 
120, 10, 1571, 1636.2, 60.5, 4.04, 173.3, 
130, 1.8, 1515.8, 1211.8, 45, 3.68, 103.5, 
140, -28.3, 1507.2, 1433.1, 73.2, 3.55, 107.3, 
150, -84.5, 1530.2, 2624.8, 143, 3.32, 148.5, 
160, -9.2, 1565.5, 3317.6, 83, 3.41, 208.6, 
170, 40, 1631.6, 4285.2, 61.8, 3.97, 306.5, 
180, -17.2, 1670.1, 4843.6, 133.8, 3.52, 356, 
190, -22.2, 1719.6, 5410.4, 153.1, 3.85, 423.6, 
200, -6.2, 1767.4, 6040.7, 164.7, 4.01, 475.7, 
