Time,ClimateRegionName,ClimateRegionIndex,NumSites,NEEC,SOMTC,AGB,AG_NPPC,BG_NPPC,Litterfall,AgeMortality,MineralN,TotalN,GrossMineralization,C_LiveLeaf,C_LiveFRoot,C_LiveWood,C_LiveCRoot,C_DeadWood,C_DeadCRoot,C_DeadLeaf_Struc,C_DeadLeaf_Meta,C_DeadFRoot_Struc,C_DeadFRoot_Meta,C_SOM1surf,C_SOM1soil,C_SOM2,C_SOM3,N_Leaf,N_FRoot,N_Wood,N_CRoot,N_DeadWood,N_DeadCRoot,N_DeadLeaf_Struc,N_DeadLeaf_Meta,N_DeadFRoot_Struc,N_DeadFRoot_Meta,N_SOM1surf,N_SOM1soil,N_SOM2,N_SOM3,SurfStrucNetMin,SurfMetaNetMin,SoilStrucNetMin,SoilMetaNetMin,SOM1surfNetMin,SOM1soilNetMin,SOM2NetMin,SOM3NetMin,TotalNdep,StreamC,StreamN,FireCEfflux,FireNEfflux,Nuptake,Nresorbed,TotalSoilN,Nvol,FrassC,
0, eco2, 1, 10, 0, 2602.2, 7935, 0, 0, 0, 0, 3.5, 212.3, 0, 0, 0, 3729.5, 399.9, 0.9, 0.9, 0.1, 0, 0, 0, 26, 52, 1535.3, 988.8, 0, 0, 18.2, 4.7, 0, 0, 0, 0, 0, 0, 2.6, 5.2, 61.4, 116.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 189.4, 0, 0, 
0, eco3, 2, 9902, 0, 3028.3, 7953.2, 0, 0, 0, 0, 3.5, 241.1, 0, 0, 0, 3738, 393.4, 0.9, 0.9, 0.1, 0, 0, 0, 30.3, 60.6, 1786.7, 1150.8, 0, 0, 17.2, 4.1, 0, 0, 0, 0, 0, 0, 3, 6.1, 71.5, 135.8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 219.8, 0, 0, 
0, eco4, 3, 6583, 0, 2907.7, 7675, 0, 0, 0, 0, 3.5, 232.2, 0, 0, 0, 3607.3, 380.3, 0.9, 0.9, 0.1, 0, 0, 0, 29.1, 58.2, 1715.6, 1104.9, 0, 0, 16.8, 4.1, 0, 0, 0, 0, 0, 0, 2.9, 5.8, 68.6, 130.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 211.2, 0, 0, 
0, eco5, 4, 14637, 0, 4227.9, 8012.6, 0, 0, 0, 0, 3.5, 324.8, 0, 0, 0, 3765.9, 396, 1, 1, 0.1, 0, 0, 0, 42.3, 84.6, 2494.5, 1606.6, 0, 0, 15.3, 3.9, 0, 0, 0, 0, 0, 0, 4.2, 8.5, 99.8, 189.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 305.6, 0, 0, 
10, eco2, 1, 10, 156.5, 1597, 1510.7, 15.8, 2.9, 7, 19.3, 8.7, 165.5, 9.3, 15.6, 3.1, 613.5, 66.3, 362.6, 32.6, 49, 7.2, 6.9, 1.2, 23.2, 76.4, 500.1, 997.3, 0.3, 0.1, 3, 0.7, 1.8, 0.4, 0.2, 0.2, 0, 0, 0.2, 9.5, 22.2, 118.1, 0, 0, 0, 0, 0.3, 5.4, -1.7, 0, 18.07, 0.42, 0.76, 33.5, 1.6, 0.2, 0.1, 159.2, 7.24, 0, 
10, eco3, 2, 9902, 93.8, 1770, 6082.3, 131.2, 15.8, 60.8, 110.4, 6.96, 197.8, 11.6, 25.3, 5, 2742.1, 287.2, 548.2, 60.9, 297.2, 91.2, 34.6, 8.3, 49.6, 68.7, 492.2, 1159.6, 0.5, 0.1, 12, 2.8, 2.7, 0.6, 1.5, 2.6, 0.2, 0.4, 1.7, 8.3, 20.1, 137.2, 0, -0.6, 0, 0, 2.3, 5.1, -1.8, 0, 28.55, 0.44, 1.05, 13.9, 0.7, 2.7, 1.2, 178.9, 4.93, 0, 
10, eco4, 3, 6583, 106.9, 1677.4, 4517.6, 75.5, 10, 32.3, 82.8, 7.57, 185.6, 9.7, 23.7, 4.7, 1983.1, 210.1, 460.7, 51.9, 183.9, 53, 22.1, 5.4, 36.9, 65.9, 461.2, 1113.5, 0.5, 0.1, 8.7, 2.2, 2.3, 0.6, 0.9, 1.5, 0.1, 0.3, 1, 8, 20.1, 131.8, 0, -0.3, 0, 0, 1.3, 4.8, -1.3, 0, 27.95, 0.23, 0.77, 11.5, 0.5, 1.5, 0.6, 171.3, 5.82, 0, 
10, eco5, 4, 14637, 155.1, 2389.5, 5429.7, 41.9, 7.9, 19.8, 91.5, 8.63, 257.5, 11, 38.6, 7.7, 2421, 260.3, 547.9, 62.6, 120.9, 25.2, 16.3, 4.1, 36, 82.5, 655.4, 1615.7, 0.8, 0.2, 9.7, 2.5, 2.4, 0.6, 0.6, 0.7, 0.1, 0.2, 0.5, 10.1, 29.4, 191.1, 0, -0.1, 0, 0, 0.6, 6.4, -1.6, 0, 29.3, 0.49, 2.37, 9.2, 0.7, 0.6, 0.2, 241.3, 7.53, 0, 
20, eco2, 1, 10, 36.7, 1195.9, 801.8, 21, 4.1, 14.5, 11.4, 5.77, 139.3, 3.5, 23.1, 4.6, 307.5, 38, 107.8, 13.2, 82.7, 15.1, 12.5, 1.9, 9.2, 24.9, 160.9, 1000.9, 0.5, 0.1, 1.3, 0.4, 0.5, 0.2, 0.4, 0.5, 0.1, 0.1, 0.2, 3.1, 7.6, 118.7, 0, 0, 0, 0, 0.3, 1.8, -0.4, 0, 14.79, 0.18, 0.33, 29.7, 0.4, 0.2, 0.2, 136.4, 4.57, 0, 
20, eco3, 2, 9902, -66.2, 1628.6, 5927.9, 273, 30.1, 108.4, 110.6, 4.23, 185.1, 9.2, 42, 6.7, 2719.1, 284.1, 554.9, 61.3, 451.6, 101, 60.7, 9.1, 52.4, 49.8, 362.6, 1163.8, 1.3, 0.2, 12, 2.8, 2.8, 0.6, 2.3, 2.8, 0.3, 0.5, 1.7, 5.6, 10.1, 137.9, 0, -0.7, 0, 0, 2.5, 3.7, -2.3, 0, 28.99, 0.35, 0.26, 82.6, 1.1, 4.1, 2.5, 165.5, 2.53, 0, 
