Time,ManagementArea,Prescription,HarvestedSites,CohortsHarvested_CaryOvat,CohortsHarvested_CaryAlba,CohortsHarvested_CornFlor,CohortsHarvested_FraxPenn,CohortsHarvested_FraxAmer,CohortsHarvested_FaguGran,CohortsHarvested_JuglNigr,CohortsHarvested_HaleDipt,CohortsHarvested_IlexOpac,CohortsHarvested_LiriTuli,CohortsHarvested_LiquStyr,CohortsHarvested_MagnAcum,CohortsHarvested_MagnMacr,CohortsHarvested_NyssSylv,CohortsHarvested_OxydArbo,CohortsHarvested_PrunSero,CohortsHarvested_PrunPenn,CohortsHarvested_PlanOcid,CohortsHarvested_QuerAlba,CohortsHarvested_QuerCocc,CohortsHarvested_QuerFalc,CohortsHarvested_QuerRubr,CohortsHarvested_QuerPrin,CohortsHarvested_QuerVelu,CohortsHarvested_QuerStel,CohortsHarvested_RobiPseu,CohortsHarvested_SassAlid,CohortsHarvested_TiliAmer,CohortsHarvested_TiliAmhe,CohortsHarvested_CaryGlab,CohortsHarvested_CaryCodi,CohortsHarvested_BetuNigr,CohortsHarvested_BetuLent,CohortsHarvested_BetuAlle,CohortsHarvested_AcerPens,CohortsHarvested_AmelArbo,CohortsHarvested_AescBuck,CohortsHarvested_AcerRubr,CohortsHarvested_AcerSacc,CohortsHarvested_TsugCana,CohortsHarvested_PinuVirg,CohortsHarvested_PinuTaed,CohortsHarvested_PinuStro,CohortsHarvested_PinuRigi,CohortsHarvested_PinuPung,CohortsHarvested_FrasFirr,CohortsHarvested_PiceRube,CohortsHarvested_PinuEnch,CohortsHarvested_CastDent,
10, 4, FarmClearings, 7056, 330, 2436, 21578, 195, 881, 4946, 0, 1426, 2525, 6076, 12, 768, 1945, 3486, 14945, 94, 0, 10, 22071, 1235, 969, 2755, 17129, 1018, 3306, 0, 15, 57, 5, 431, 0, 0, 1, 0, 5493, 4162, 0, 10512, 12230, 3271, 17, 1, 41, 0, 3, 0, 0, 709, 41223, 
20, 4, FarmClearings, 6959, 236, 1455, 11086, 213, 516, 2973, 0, 868, 1549, 1840, 3, 509, 1386, 2762, 7750, 53, 0, 4, 9279, 693, 580, 2239, 7880, 597, 1779, 0, 14, 14, 0, 192, 0, 0, 0, 0, 3750, 2305, 0, 6277, 2196, 654, 1, 0, 12, 0, 0, 0, 0, 678, 11298, 
30, 4, FarmClearings, 5725, 246, 1239, 5322, 96, 503, 1398, 0, 481, 562, 737, 1, 221, 722, 1795, 2668, 22, 0, 0, 5119, 452, 132, 1843, 4341, 351, 789, 0, 20, 3, 0, 137, 0, 0, 0, 0, 2600, 1374, 0, 3922, 780, 196, 2, 0, 3, 0, 0, 0, 0, 242, 5981, 
40, 4, FarmClearings, 5006, 296, 860, 4248, 86, 425, 949, 0, 413, 358, 344, 1, 136, 476, 1506, 2045, 30, 0, 1, 4179, 303, 82, 1586, 3601, 250, 563, 0, 10, 0, 0, 116, 0, 0, 0, 0, 2026, 901, 0, 2782, 337, 98, 1, 0, 7, 0, 2, 0, 0, 79, 4584, 
50, 4, FarmClearings, 4511, 292, 893, 3650, 44, 367, 725, 0, 332, 255, 264, 1, 111, 403, 1053, 1580, 10, 0, 1, 3934, 263, 33, 1663, 3247, 206, 452, 0, 24, 5, 1, 82, 0, 0, 0, 0, 1814, 720, 0, 2371, 265, 83, 1, 0, 8, 0, 4, 0, 0, 25, 3987, 
60, 4, FarmClearings, 4400, 411, 841, 3517, 42, 343, 660, 0, 269, 207, 363, 0, 114, 364, 927, 1393, 13, 0, 1, 3839, 244, 51, 1559, 2938, 177, 521, 0, 4, 4, 0, 63, 0, 0, 0, 0, 1555, 644, 0, 2205, 249, 50, 0, 0, 1, 0, 2, 0, 0, 21, 3526, 
70, 4, FarmClearings, 4350, 514, 928, 3659, 38, 266, 721, 0, 213, 178, 277, 0, 120, 381, 731, 1244, 5, 0, 2, 4023, 237, 39, 1697, 3159, 193, 533, 0, 6, 1, 1, 60, 0, 0, 0, 0, 1568, 632, 0, 2037, 234, 34, 0, 0, 0, 0, 4, 0, 0, 12, 3879, 
80, 4, FarmClearings, 4202, 607, 896, 3840, 38, 279, 611, 0, 251, 148, 350, 0, 133, 413, 699, 1451, 9, 0, 1, 4078, 213, 37, 1550, 3121, 158, 585, 0, 4, 0, 0, 51, 0, 0, 0, 0, 1427, 539, 0, 1919, 194, 29, 0, 0, 0, 0, 3, 0, 0, 11, 3749, 
90, 4, FarmClearings, 4139, 624, 846, 3586, 28, 264, 621, 0, 195, 153, 260, 0, 119, 347, 688, 1233, 8, 0, 1, 3838, 197, 24, 1628, 2968, 159, 447, 0, 13, 1, 2, 53, 0, 0, 0, 0, 1465, 502, 0, 1818, 187, 26, 0, 0, 0, 0, 2, 0, 0, 2, 3738, 
100, 4, FarmClearings, 4204, 822, 917, 3563, 31, 254, 596, 0, 203, 141, 193, 0, 130, 318, 631, 1241, 13, 0, 4, 3826, 202, 40, 1792, 2947, 179, 452, 0, 12, 0, 2, 55, 0, 0, 0, 0, 1443, 453, 0, 1792, 203, 39, 0, 0, 1, 0, 1, 0, 0, 4, 3821, 
