EventID,SimulationYear,InitRow,InitColumn,InitialFireWeatherIndex,InitialDayOfYear,IgnitionType,NumberOfDays,TotalSitesBurned,CohortsKilled,MeanWindSpeed,MeanEffectiveWindSpeed,MeanWindDirection,MeanSuppressionEffectiveness,MeanFWI,MeanSpreadProbability,MeanSeverity,TotalBiomassMortality,NumberCellsSeverity1,NumberCellsSeverity2,NumberCellsSeverity3,
1, 1, 503, 652, 23.880620966321, 70, Rx, 1, 191, 1112, 17.7666888251309, 17.5142891727259, 130.052356020942, 0, 17.32, 0.994764397905759, 0.72, 135871, 138, 0, 0, 
2, 1, 523, 786, 30.8523508875247, 71, Rx, 1, 191, 1149, 21.1996295623036, 21.1003168302779, 143.246073298429, 0, 24.55, 0.994764397905759, 0.8, 122074, 152, 0, 0, 
3, 1, 525, 739, 18.2115899511206, 72, Rx, 1, 191, 1268, 11.8114958224084, 11.9349099128861, 135.706806282723, 0, 13.81, 0.994764397905759, 0.75, 146395, 144, 0, 0, 
4, 1, 597, 558, 18.9512928854406, 73, Rx, 1, 191, 1240, 14.2102733993718, 14.2008285227703, 139.476439790576, 0, 15.15, 0.994764397905759, 0.77, 136060, 148, 0, 0, 
5, 1, 515, 633, 23.2883500609639, 74, Rx, 1, 191, 1344, 17.6083330617802, 15.4131984475169, 132.879581151832, 0, 17.19, 0.994764397905759, 0.74, 144388, 141, 0, 0, 
6, 1, 571, 710, 19.1267087530664, 75, Rx, 1, 191, 1091, 13.8716293627225, 12.5772471397913, 134.764397905759, 0, 15.43, 0.994764397905759, 0.75, 127762, 143, 0, 0, 
7, 1, 598, 657, 21.2843886093592, 76, Rx, 1, 192, 959, 13.69106740125, 14.5027353831826, 141.5625, 0, 16.26, 0.994791666666667, 0.79, 102353, 151, 0, 0, 
8, 1, 536, 708, 23.3274790016968, 77, Rx, 1, 191, 1130, 16.8166463334032, 17.9496868437026, 132.879581151832, 0, 18.34, 0.994764397905759, 0.74, 123925, 141, 0, 0, 
9, 2, 538, 742, 27.0659894636733, 71, Rx, 1, 193, 1431, 17.9888570449741, 18.4803278675353, 138.031088082902, 0, 14.3, 0.994818652849741, 0.8, 167066, 141, 7, 0, 
10, 2, 549, 722, 17.453296975042, 73, Rx, 1, 191, 1157, 16.6806377434555, 17.8724731305503, 133.821989528796, 0, 13.01, 0.994764397905759, 0.74, 168405, 142, 0, 0, 
