SimulationYear,DayOfYear,AttemptedNumberIgnitions,FireWeatherIndex,IgnitionType,
1, 70, 1, 24.6549110224162, Rx, 
1, 71, 1, 31.4146576571113, Rx, 
1, 72, 1, 18.1831846357474, Rx, 
1, 73, 1, 20.7650699822313, Rx, 
1, 74, 1, 24.1680492003412, Rx, 
1, 75, 1, 22.0867468334749, Rx, 
1, 76, 1, 21.0754306434743, Rx, 
1, 77, 1, 25.9877405395368, Rx, 
2, 71, 1, 16.4513519019858, Rx, 
2, 73, 1, 16.6815762505143, Rx, 
2, 79, 1, 20.3545951389052, Rx, 
2, 80, 1, 19.7967657498611, Rx, 
2, 81, 1, 18.0378404522684, Rx, 
2, 82, 1, 15.4603760639391, Rx, 
2, 83, 1, 26.3915232294646, Rx, 
2, 84, 1, 20.806092940016, Rx, 
3, 71, 1, 15.6008502431194, Rx, 
3, 72, 1, 16.0730028610442, Rx, 
3, 73, 1, 20.540377731228, Rx, 
3, 74, 1, 25.6932961439012, Rx, 
3, 75, 1, 17.3767841640861, Rx, 
3, 76, 1, 30.5993400639146, Rx, 
3, 77, 1, 17.2844678882955, Rx, 
3, 79, 1, 23.0317076414955, Rx, 
4, 71, 1, 15.0030321411786, Rx, 
4, 77, 1, 17.8087658912779, Rx, 
4, 78, 1, 28.4448590970327, Rx, 
4, 79, 1, 27.1514474539742, Rx, 
4, 80, 1, 25.2104199381856, Rx, 
4, 81, 1, 32.2334207053467, Rx, 
4, 82, 1, 20.8238533299724, Rx, 
4, 83, 1, 16.9952951214862, Rx, 
5, 71, 1, 51.9066984745288, Rx, 
5, 72, 1, 21.0142369883531, Rx, 
5, 74, 1, 23.7211826259151, Rx, 
5, 77, 1, 16.6700977217342, Rx, 
5, 80, 1, 16.9350535443645, Rx, 
5, 81, 1, 20.0314578110973, Rx, 
5, 84, 1, 19.8077045401584, Rx, 
5, 86, 1, 15.4636877277133, Rx, 
6, 70, 1, 24.6549110224162, Rx, 
6, 71, 1, 31.4146576571113, Rx, 
6, 72, 1, 18.1831846357474, Rx, 
6, 73, 1, 20.7650699822313, Rx, 
6, 74, 1, 24.1680492003412, Rx, 
6, 75, 1, 22.0867468334749, Rx, 
6, 76, 1, 21.0754306434743, Rx, 
6, 77, 1, 25.9877405395368, Rx, 
