Time,EcoregionName,EcoregionIndex,TAP,MAT,BeginGrow,EndGrow,PDSI,
1992, eco2, 1, 151.36, 10.87, 71, 280, 0, 
1993, eco2, 1, 104.77, 10.96, 84, 272, 0, 
1994, eco2, 1, 126.16, 11.38, 82, 292, 0, 
1995, eco2, 1, 100.24, 10.51, 69, 276, 0, 
1996, eco2, 1, 144.65, 10.24, 84, 269, 0, 
1997, eco2, 1, 133.37, 10.27, 73, 280, 0, 
1998, eco2, 1, 138.87, 11.84, 80, 284, 0, 
1999, eco2, 1, 144.65, 10.24, 84, 268, 0, 
2000, eco2, 1, 144.65, 10.24, 84, 267, 0, 
2001, eco2, 1, 100.24, 10.51, 69, 273, 0, 
2002, eco2, 1, 113.02, 11.38, 83, 294, 0, 
2003, eco2, 1, 113.02, 11.38, 83, 292, 0, 
2004, eco2, 1, 128.43, 11.46, 79, 279, 0, 
2005, eco2, 1, 126.16, 11.38, 82, 291, 0, 
2006, eco2, 1, 138.32, 9.57, 94, 282, 0, 
2007, eco2, 1, 114.39, 10.38, 88, 288, 0, 
2008, eco2, 1, 163.47, 10.87, 64, 280, 0, 
2009, eco2, 1, 179.18, 10.41, 90, 290, 0, 
2010, eco2, 1, 100.24, 10.51, 69, 271, 0, 
2011, eco2, 1, 95.5, 11.86, 69, 291, 0, 
2012, eco2, 1, 179.18, 10.41, 90, 289, 0, 
2013, eco2, 1, 151.36, 10.87, 71, 285, 0, 
2014, eco2, 1, 114.39, 10.38, 88, 287, 0, 
2015, eco2, 1, 138.87, 11.84, 80, 281, 0, 
2016, eco2, 1, 146.73, 11.72, 74, 309, 0, 
2017, eco2, 1, 163.47, 10.87, 64, 283, 0, 
2018, eco2, 1, 128.43, 11.46, 79, 279, 0, 
2019, eco2, 1, 113.49, 10.77, 76, 283, 0, 
2020, eco2, 1, 151.36, 10.87, 71, 281, 0, 
2021, eco2, 1, 126.16, 11.38, 82, 292, 0, 
2022, eco2, 1, 110.15, 11.05, 85, 280, 0, 
2023, eco2, 1, 114.39, 10.38, 88, 289, 0, 
2024, eco2, 1, 106.89, 9.79, 65, 282, 0, 
2025, eco2, 1, 128.43, 11.46, 79, 279, 0, 
2026, eco2, 1, 110.15, 11.05, 85, 282, 0, 
2027, eco2, 1, 109.61, 11, 80, 280, 0, 
2028, eco2, 1, 144.65, 10.24, 84, 267, 0, 
2029, eco2, 1, 100.24, 10.51, 69, 272, 0, 
2030, eco2, 1, 104.77, 10.96, 84, 269, 0, 
2031, eco2, 1, 126.16, 11.38, 82, 291, 0, 
2032, eco2, 1, 95.5, 11.86, 69, 293, 0, 
2033, eco2, 1, 100.24, 10.51, 69, 273, 0, 
2034, eco2, 1, 110.91, 11.9, 63, 295, 0, 
2035, eco2, 1, 106.89, 9.79, 65, 277, 0, 
2036, eco2, 1, 134.98, 11.26, 69, 308, 0, 
2037, eco2, 1, 110.15, 11.05, 85, 282, 0, 
2038, eco2, 1, 133.37, 10.27, 73, 280, 0, 
2039, eco2, 1, 109.61, 11, 80, 275, 0, 
2040, eco2, 1, 113.49, 10.77, 76, 285, 0, 
2041, eco2, 1, 144.65, 10.24, 84, 267, 0, 
2042, eco2, 1, 119.07, 11.76, 57, 283, 0, 
2043, eco2, 1, 126.16, 11.38, 82, 293, 0, 
2044, eco2, 1, 95.5, 11.86, 69, 291, 0, 
2045, eco2, 1, 113.49, 10.77, 76, 286, 0, 
2046, eco2, 1, 138.32, 9.57, 94, 281, 0, 
2047, eco2, 1, 138.32, 9.57, 94, 281, 0, 
2048, eco2, 1, 119.07, 11.76, 57, 284, 0, 
2049, eco2, 1, 126.16, 11.38, 82, 293, 0, 
2050, eco2, 1, 109.9, 10.64, 89, 273, 0, 
2051, eco2, 1, 151.36, 10.87, 71, 281, 0, 
2052, eco2, 1, 138.32, 9.57, 94, 279, 0, 
2053, eco2, 1, 132.57, 10.5, 81, 276, 0, 
2054, eco2, 1, 146.73, 11.72, 74, 304, 0, 
2055, eco2, 1, 113.49, 10.77, 76, 283, 0, 
2056, eco2, 1, 113.02, 11.38, 83, 292, 0, 
2057, eco2, 1, 104.77, 10.96, 84, 268, 0, 
2058, eco2, 1, 138.32, 9.57, 94, 281, 0, 
2059, eco2, 1, 126.16, 11.38, 82, 291, 0, 
2060, eco2, 1, 138.87, 11.84, 80, 282, 0, 
2061, eco2, 1, 110.91, 11.9, 63, 290, 0, 
2062, eco2, 1, 100.24, 10.51, 69, 274, 0, 
2063, eco2, 1, 106.89, 9.79, 65, 282, 0, 
2064, eco2, 1, 104.77, 10.96, 84, 270, 0, 
2065, eco2, 1, 113.02, 11.38, 83, 291, 0, 
2066, eco2, 1, 119.07, 11.76, 57, 280, 0, 
2067, eco2, 1, 126.16, 11.38, 82, 292, 0, 
2068, eco2, 1, 146.73, 11.72, 74, 305, 0, 
2069, eco2, 1, 114.39, 10.38, 88, 288, 0, 
2070, eco2, 1, 151.36, 10.87, 71, 283, 0, 
2071, eco2, 1, 151.36, 10.87, 71, 280, 0, 
2072, eco2, 1, 163.47, 10.87, 64, 280, 0, 
2073, eco2, 1, 95.5, 11.86, 69, 291, 0, 
2074, eco2, 1, 110.91, 11.9, 63, 297, 0, 
2075, eco2, 1, 163.47, 10.87, 64, 280, 0, 
2076, eco2, 1, 163.47, 10.87, 64, 281, 0, 
2077, eco2, 1, 179.18, 10.41, 90, 290, 0, 
2078, eco2, 1, 163.47, 10.87, 64, 282, 0, 
2079, eco2, 1, 113.02, 11.38, 83, 294, 0, 
2080, eco2, 1, 133.37, 10.27, 73, 283, 0, 
2081, eco2, 1, 110.15, 11.05, 85, 280, 0, 
2082, eco2, 1, 128.43, 11.46, 79, 281, 0, 
2083, eco2, 1, 110.15, 11.05, 85, 283, 0, 
2084, eco2, 1, 126.16, 11.38, 82, 291, 0, 
2085, eco2, 1, 113.02, 11.38, 83, 294, 0, 
2086, eco2, 1, 113.49, 10.77, 76, 285, 0, 
2087, eco2, 1, 134.98, 11.26, 69, 312, 0, 
2088, eco2, 1, 113.49, 10.77, 76, 284, 0, 
2089, eco2, 1, 126.16, 11.38, 82, 291, 0, 
2090, eco2, 1, 138.87, 11.84, 80, 284, 0, 
2091, eco2, 1, 110.91, 11.9, 63, 296, 0, 
2092, eco2, 1, 138.87, 11.84, 80, 283, 0, 
2093, eco2, 1, 110.91, 11.9, 63, 289, 0, 
2094, eco2, 1, 138.87, 11.84, 80, 283, 0, 
2095, eco2, 1, 138.32, 9.57, 94, 280, 0, 
2096, eco2, 1, 163.47, 10.87, 64, 278, 0, 
2097, eco2, 1, 144.65, 10.24, 84, 269, 0, 
2098, eco2, 1, 139.09, 11.51, 68, 279, 0, 
2099, eco2, 1, 138.32, 9.57, 94, 282, 0, 
2100, eco2, 1, 106.89, 9.79, 65, 280, 0, 
2101, eco2, 1, 139.09, 11.51, 68, 277, 0, 
2102, eco2, 1, 151.36, 10.87, 71, 283, 0, 
2103, eco2, 1, 132.57, 10.5, 81, 275, 0, 
2104, eco2, 1, 114.39, 10.38, 88, 289, 0, 
2105, eco2, 1, 128.43, 11.46, 79, 279, 0, 
2106, eco2, 1, 133.37, 10.27, 73, 283, 0, 
2107, eco2, 1, 179.18, 10.41, 90, 291, 0, 
2108, eco2, 1, 128.43, 11.46, 79, 276, 0, 
2109, eco2, 1, 95.5, 11.86, 69, 291, 0, 
2110, eco2, 1, 126.16, 11.38, 82, 293, 0, 
2111, eco2, 1, 138.32, 9.57, 94, 279, 0, 
2112, eco2, 1, 133.37, 10.27, 73, 279, 0, 
2113, eco2, 1, 95.5, 11.86, 69, 292, 0, 
2114, eco2, 1, 146.73, 11.72, 74, 304, 0, 
2115, eco2, 1, 139.09, 11.51, 68, 278, 0, 
2116, eco2, 1, 104.77, 10.96, 84, 271, 0, 
2117, eco2, 1, 104.77, 10.96, 84, 271, 0, 
2118, eco2, 1, 134.98, 11.26, 69, 317, 0, 
2119, eco2, 1, 139.09, 11.51, 68, 281, 0, 
2120, eco2, 1, 139.09, 11.51, 68, 281, 0, 
2121, eco2, 1, 95.5, 11.86, 69, 291, 0, 
2122, eco2, 1, 138.87, 11.84, 80, 287, 0, 
2123, eco2, 1, 163.47, 10.87, 64, 280, 0, 
2124, eco2, 1, 113.49, 10.77, 76, 284, 0, 
2125, eco2, 1, 132.57, 10.5, 81, 276, 0, 
2126, eco2, 1, 139.09, 11.51, 68, 277, 0, 
2127, eco2, 1, 133.37, 10.27, 73, 280, 0, 
2128, eco2, 1, 100.24, 10.51, 69, 271, 0, 
2129, eco2, 1, 132.57, 10.5, 81, 276, 0, 
2130, eco2, 1, 134.98, 11.26, 69, 310, 0, 
2131, eco2, 1, 106.89, 9.79, 65, 278, 0, 
2132, eco2, 1, 163.47, 10.87, 64, 279, 0, 
2133, eco2, 1, 114.39, 10.38, 88, 285, 0, 
2134, eco2, 1, 113.02, 11.38, 83, 292, 0, 
2135, eco2, 1, 114.39, 10.38, 88, 288, 0, 
2136, eco2, 1, 134.98, 11.26, 69, 313, 0, 
2137, eco2, 1, 134.98, 11.26, 69, 308, 0, 
2138, eco2, 1, 109.61, 11, 80, 278, 0, 
2139, eco2, 1, 138.87, 11.84, 80, 283, 0, 
2140, eco2, 1, 100.24, 10.51, 69, 272, 0, 
2141, eco2, 1, 139.09, 11.51, 68, 278, 0, 
2142, eco2, 1, 126.16, 11.38, 82, 292, 0, 
2143, eco2, 1, 134.98, 11.26, 69, 310, 0, 
2144, eco2, 1, 144.65, 10.24, 84, 268, 0, 
2145, eco2, 1, 144.65, 10.24, 84, 266, 0, 
2146, eco2, 1, 100.24, 10.51, 69, 275, 0, 
2147, eco2, 1, 119.07, 11.76, 57, 282, 0, 
2148, eco2, 1, 126.16, 11.38, 82, 292, 0, 
2149, eco2, 1, 113.02, 11.38, 83, 292, 0, 
2150, eco2, 1, 138.87, 11.84, 80, 285, 0, 
2151, eco2, 1, 113.49, 10.77, 76, 286, 0, 
2152, eco2, 1, 106.89, 9.79, 65, 282, 0, 
2153, eco2, 1, 114.39, 10.38, 88, 288, 0, 
2154, eco2, 1, 134.98, 11.26, 69, 314, 0, 
2155, eco2, 1, 126.16, 11.38, 82, 291, 0, 
2156, eco2, 1, 106.89, 9.79, 65, 281, 0, 
2157, eco2, 1, 109.61, 11, 80, 280, 0, 
2158, eco2, 1, 163.47, 10.87, 64, 281, 0, 
2159, eco2, 1, 113.49, 10.77, 76, 283, 0, 
2160, eco2, 1, 110.91, 11.9, 63, 296, 0, 
2161, eco2, 1, 139.09, 11.51, 68, 278, 0, 
2162, eco2, 1, 144.65, 10.24, 84, 267, 0, 
2163, eco2, 1, 110.15, 11.05, 85, 282, 0, 
2164, eco2, 1, 144.65, 10.24, 84, 268, 0, 
2165, eco2, 1, 106.89, 9.79, 65, 276, 0, 
2166, eco2, 1, 146.73, 11.72, 74, 307, 0, 
2167, eco2, 1, 114.39, 10.38, 88, 288, 0, 
2168, eco2, 1, 138.32, 9.57, 94, 280, 0, 
2169, eco2, 1, 95.5, 11.86, 69, 292, 0, 
2170, eco2, 1, 106.89, 9.79, 65, 277, 0, 
2171, eco2, 1, 138.32, 9.57, 94, 279, 0, 
2172, eco2, 1, 134.98, 11.26, 69, 313, 0, 
2173, eco2, 1, 106.89, 9.79, 65, 281, 0, 
2174, eco2, 1, 146.73, 11.72, 74, 313, 0, 
2175, eco2, 1, 119.07, 11.76, 57, 284, 0, 
2176, eco2, 1, 106.89, 9.79, 65, 280, 0, 
2177, eco2, 1, 139.09, 11.51, 68, 280, 0, 
2178, eco2, 1, 104.77, 10.96, 84, 270, 0, 
2179, eco2, 1, 163.47, 10.87, 64, 278, 0, 
2180, eco2, 1, 104.77, 10.96, 84, 269, 0, 
2181, eco2, 1, 133.37, 10.27, 73, 279, 0, 
2182, eco2, 1, 138.87, 11.84, 80, 286, 0, 
2183, eco2, 1, 100.24, 10.51, 69, 273, 0, 
2184, eco2, 1, 132.57, 10.5, 81, 282, 0, 
2185, eco2, 1, 151.36, 10.87, 71, 282, 0, 
2186, eco2, 1, 138.87, 11.84, 80, 288, 0, 
2187, eco2, 1, 151.36, 10.87, 71, 282, 0, 
2188, eco2, 1, 119.07, 11.76, 57, 286, 0, 
2189, eco2, 1, 100.24, 10.51, 69, 274, 0, 
2190, eco2, 1, 104.77, 10.96, 84, 268, 0, 
2191, eco2, 1, 110.15, 11.05, 85, 282, 0, 
1992, eco3, 2, 192.65, 13.54, 59, 282, 0, 
1993, eco3, 2, 125.05, 13.79, 0, 278, 0, 
1994, eco3, 2, 155.87, 14.12, 61, 292, 0, 
1995, eco3, 2, 121.43, 13.58, 51, 284, 0, 
1996, eco3, 2, 184.44, 12.87, 42, 270, 0, 
1997, eco3, 2, 168.2, 13.39, 58, 285, 0, 
1998, eco3, 2, 158.63, 14.78, 0, 290, 0, 
1999, eco3, 2, 184.44, 12.87, 42, 268, 0, 
2000, eco3, 2, 184.44, 12.87, 42, 269, 0, 
2001, eco3, 2, 121.43, 13.58, 51, 284, 0, 
2002, eco3, 2, 158.18, 13.99, 42, 297, 0, 
2003, eco3, 2, 158.18, 13.99, 42, 295, 0, 
2004, eco3, 2, 130.63, 14.25, 57, 278, 0, 
2005, eco3, 2, 155.87, 14.12, 61, 291, 0, 
2006, eco3, 2, 170, 12.81, 76, 292, 0, 
2007, eco3, 2, 139.18, 13.22, 73, 284, 0, 
2008, eco3, 2, 187.1, 13.57, 49, 285, 0, 
2009, eco3, 2, 213.68, 13.16, 79, 293, 0, 
2010, eco3, 2, 121.43, 13.58, 51, 286, 0, 
