Time,NEEC,SOMTC,AGB,AG_NPPC,MineralN,C_DeadWood,
0, 0, 3566.7, 7922.3, 0, 3.5, 1, 
10, 74.5, 2016.8, 5275.3, 113.9, 8.09, 508.8, 
20, 25.1, 1782.6, 4637.7, 128.7, 5.03, 489.4, 
30, -5, 1732.1, 4416.8, 157.4, 3.87, 446.4, 
40, -12.7, 1703.4, 3954.5, 146.3, 3.72, 412.9, 
50, 60.6, 1697.2, 3736, 72.2, 3.77, 397.1, 
60, 12.1, 1686.6, 3703.8, 110.9, 3.7, 378, 
70, -128, 1694.5, 3813.3, 256.5, 3.35, 380, 
80, 11.8, 1684.2, 3583.7, 109.2, 3.7, 369.1, 
90, 39.5, 1689.1, 3691.4, 88.4, 4.01, 370.5, 
100, -123.8, 1706.9, 3957.5, 258.6, 3.44, 383.1, 
110, 15.8, 1651.6, 2624.5, 85.5, 4.03, 293.3, 
120, 11.4, 1582.7, 1726.6, 60.4, 3.9, 184.3, 
130, -3.1, 1524.1, 1233.6, 55, 4.1, 111.8, 
140, 1.4, 1517.7, 1933.9, 48.1, 3.78, 125, 
150, -31.8, 1542.6, 2721.1, 94.1, 3.61, 173.1, 
160, -152.9, 1578.8, 3519.2, 225.8, 2.92, 218, 
170, -24.4, 1631.7, 4342.8, 134.5, 3.46, 286, 
180, 0.5, 1649.1, 4437.1, 100.5, 3.61, 320.3, 
190, -61.6, 1685.5, 4963.4, 182.3, 3.61, 359.4, 
200, 2.1, 1724.3, 5342.9, 134.8, 3.8, 408.3, 
