Time,ClimateRegionName,ClimateRegionIndex,NumSites,NEEC,SOMTC,AGB,AG_NPPC,BG_NPPC,Litterfall,AgeMortality,MineralN,TotalN,GrossMineralization,C_LiveLeaf,C_LiveFRoot,C_LiveWood,C_LiveCRoot,C_DeadWood,C_DeadCRoot,C_DeadLeaf_Struc,C_DeadLeaf_Meta,C_DeadFRoot_Struc,C_DeadFRoot_Meta,C_SOM1surf,C_SOM1soil,C_SOM2,C_SOM3,N_Leaf,N_FRoot,N_Wood,N_CRoot,N_DeadWood,N_DeadCRoot,N_DeadLeaf_Struc,N_DeadLeaf_Meta,N_DeadFRoot_Struc,N_DeadFRoot_Meta,N_SOM1surf,N_SOM1soil,N_SOM2,N_SOM3,SurfStrucNetMin,SurfMetaNetMin,SoilStrucNetMin,SoilMetaNetMin,SOM1surfNetMin,SOM1soilNetMin,SOM2NetMin,SOM3NetMin,TotalNdep,StreamC,StreamN,FireCEfflux,FireNEfflux,Nuptake,Nresorbed,TotalSoilN,Nvol,FrassC,
0, eco2, 1, 10, 0, 2602.2, 7935, 0, 0, 0, 0, 3.5, 212.3, 0, 0, 0, 3729.5, 399.9, 0.9, 0.9, 0.1, 0, 0, 0, 26, 52, 1535.3, 988.8, 0, 0, 18.2, 4.7, 0, 0, 0, 0, 0, 0, 2.6, 5.2, 61.4, 116.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 189.4, 0, 0, 
0, eco3, 2, 9902, 0, 3028.3, 7953.2, 0, 0, 0, 0, 3.5, 241.1, 0, 0, 0, 3738, 393.4, 0.9, 0.9, 0.1, 0, 0, 0, 30.3, 60.6, 1786.7, 1150.8, 0, 0, 17.2, 4.1, 0, 0, 0, 0, 0, 0, 3, 6.1, 71.5, 135.8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 219.8, 0, 0, 
0, eco4, 3, 6583, 0, 2907.7, 7675, 0, 0, 0, 0, 3.5, 232.2, 0, 0, 0, 3607.3, 380.3, 0.9, 0.9, 0.1, 0, 0, 0, 29.1, 58.2, 1715.6, 1104.9, 0, 0, 16.8, 4.1, 0, 0, 0, 0, 0, 0, 2.9, 5.8, 68.6, 130.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 211.2, 0, 0, 
0, eco5, 4, 14637, 0, 4227.9, 8012.6, 0, 0, 0, 0, 3.5, 324.8, 0, 0, 0, 3765.9, 396, 1, 1, 0.1, 0, 0, 0, 42.3, 84.6, 2494.5, 1606.6, 0, 0, 15.3, 3.9, 0, 0, 0, 0, 0, 0, 4.2, 8.5, 99.8, 189.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 305.6, 0, 0, 
10, eco2, 1, 10, 76.3, 1295.8, 321.8, 0, 0, 0, 0, 8.28, 146, 5.9, 0, 0, 0, 0, 60.1, 4.7, 0, 0, 0, 0, 3.5, 39.6, 254.7, 998, 0, 0, 0, 0, 0.3, 0.1, 0, 0, 0, 0, 0, 5.1, 14.1, 118.2, 0, 0, 0, 0, 0, 3.4, -0.2, 0, 33.57, 0.04, 0.19, 0, 0, 0, 0, 145.7, 6.66, 0, 
10, eco3, 2, 9902, -13, 1754.3, 5806, 217.7, 24.6, 74.7, 112.2, 7.05, 196.3, 11.1, 37, 6.1, 2576.9, 270, 531.1, 58.9, 247.1, 69.1, 28.8, 6.6, 43.2, 67.3, 484.3, 1159.5, 1.1, 0.2, 11.5, 2.7, 2.7, 0.6, 1.2, 2, 0.1, 0.3, 1.3, 8.2, 20.2, 137.2, 0, -0.4, 0, 0, 1.8, 5.3, -1.7, 0, 27.96, 0.13, 0.35, 11.8, 0.6, 3.9, 1.7, 177.6, 4.84, 0, 
10, eco4, 3, 6583, 70.4, 1646.9, 4379.6, 93.3, 12, 36, 77, 7.88, 183.8, 9, 26.2, 4.9, 1907.9, 201.9, 436.2, 49.1, 159.2, 40.8, 19, 4.3, 32.6, 62.3, 438.5, 1113.5, 0.6, 0.1, 8.5, 2.1, 2.2, 0.5, 0.8, 1.2, 0.1, 0.2, 0.8, 7.6, 19.4, 131.8, 0, -0.2, 0, 0, 1, 4.6, -1.2, 0, 28.78, 0.09, 0.26, 7.2, 0.5, 1.7, 0.7, 169.7, 5.91, 0, 
10, eco5, 4, 14637, 135.5, 2361.3, 5322.6, 53, 10.1, 20.8, 88.7, 8.89, 255.7, 10.7, 43.9, 8.8, 2339, 252.9, 526.6, 60.4, 97.7, 19.5, 13.8, 3.6, 33.3, 79.6, 632.6, 1615.7, 0.9, 0.2, 9.3, 2.5, 2.3, 0.6, 0.5, 0.5, 0.1, 0.1, 0.4, 9.8, 28.6, 191.1, 0, -0.1, 0, 0, 0.5, 6.3, -1.5, 0, 29.5, 0.15, 0.79, 9.1, 0.7, 0.7, 0.3, 240, 7.04, 0, 
20, eco2, 1, 10, 15.5, 1070.3, 242.2, 0.9, 0.1, 0.4, 1.6, 5.13, 129.2, 1.3, 0.1, 0, 64.8, 6.5, 14.8, 1.6, 28.1, 1.3, 3.3, 0.1, 1.4, 9.2, 60, 999.6, 0, 0, 0.4, 0.1, 0.1, 0, 0.1, 0, 0, 0, 0, 1.2, 3.6, 118.5, 0, 0, 0, 0, 0, 0.7, 0.1, 0, 30.21, 0, 0.03, 0, 0, 0, 0, 128.6, 4, 0, 
20, eco3, 2, 9902, 15.7, 1640.1, 5785.4, 187.5, 20.4, 77.2, 106.9, 4.72, 185.3, 8.8, 33.9, 5.3, 2664.5, 277.7, 567.2, 61.3, 453.4, 90.7, 61.3, 8, 52.3, 51, 373, 1163.8, 1, 0.1, 11.6, 2.7, 2.9, 0.6, 2.3, 2.6, 0.3, 0.4, 1.7, 5.9, 10.5, 137.9, 0, -0.6, 0, 0, 2.4, 3.6, -2.4, 0, 26.41, 0.04, 0.08, 102.7, 1.3, 3.4, 1.8, 166.3, 2.93, 0, 
