Time,ManagementArea,Prescription,Stand,EventID,StandAge,StandRank,NumberOfSites,HarvestedSites,TotalCohortsHarvested,CohortsHarvested_CaryOvat,CohortsHarvested_CaryAlba,CohortsHarvested_CornFlor,CohortsHarvested_FraxPenn,CohortsHarvested_FraxAmer,CohortsHarvested_FaguGran,CohortsHarvested_JuglNigr,CohortsHarvested_HaleDipt,CohortsHarvested_IlexOpac,CohortsHarvested_LiriTuli,CohortsHarvested_LiquStyr,CohortsHarvested_MagnAcum,CohortsHarvested_MagnMacr,CohortsHarvested_NyssSylv,CohortsHarvested_OxydArbo,CohortsHarvested_PrunSero,CohortsHarvested_PrunPenn,CohortsHarvested_PlanOcid,CohortsHarvested_QuerAlba,CohortsHarvested_QuerCocc,CohortsHarvested_QuerFalc,CohortsHarvested_QuerRubr,CohortsHarvested_QuerPrin,CohortsHarvested_QuerVelu,CohortsHarvested_QuerStel,CohortsHarvested_RobiPseu,CohortsHarvested_SassAlid,CohortsHarvested_TiliAmer,CohortsHarvested_TiliAmhe,CohortsHarvested_CaryGlab,CohortsHarvested_CaryCodi,CohortsHarvested_BetuNigr,CohortsHarvested_BetuLent,CohortsHarvested_BetuAlle,CohortsHarvested_AcerPens,CohortsHarvested_AmelArbo,CohortsHarvested_AescBuck,CohortsHarvested_AcerRubr,CohortsHarvested_AcerSacc,CohortsHarvested_TsugCana,CohortsHarvested_PinuVirg,CohortsHarvested_PinuTaed,CohortsHarvested_PinuStro,CohortsHarvested_PinuRigi,CohortsHarvested_PinuPung,CohortsHarvested_FrasFirr,CohortsHarvested_PiceRube,CohortsHarvested_PinuEnch,CohortsHarvested_CastDent,
10, 4, FarmClearings, 31903024, 47, 39, 301, 364, 310, 8863, 20, 101, 956, 0, 24, 163, 0, 18, 198, 301, 2, 15, 110, 187, 700, 6, 0, 3, 1000, 60, 93, 114, 682, 68, 248, 0, 3, 1, 0, 3, 0, 0, 0, 0, 459, 123, 0, 549, 529, 143, 0, 0, 7, 0, 0, 0, 0, 47, 1930, 
10, 4, FarmClearings, 31803024, 9, 39, 661, 196, 167, 5503, 17, 69, 639, 0, 11, 134, 0, 0, 161, 165, 0, 57, 43, 139, 410, 1, 0, 0, 735, 44, 54, 117, 552, 59, 148, 0, 0, 0, 0, 9, 0, 0, 0, 0, 24, 87, 0, 348, 190, 26, 0, 0, 4, 0, 0, 0, 0, 33, 1227, 
10, 4, FarmClearings, 31800576, 15, 38, 579, 178, 152, 4303, 1, 20, 417, 0, 34, 129, 0, 24, 75, 112, 0, 41, 29, 52, 315, 5, 0, 0, 476, 22, 0, 43, 363, 32, 136, 0, 0, 3, 0, 10, 0, 0, 0, 0, 204, 119, 0, 244, 421, 98, 0, 0, 1, 0, 0, 0, 0, 23, 854, 
10, 4, FarmClearings, 31800006, 31, 32, 452, 7, 6, 137, 0, 0, 18, 0, 0, 3, 0, 0, 0, 5, 0, 0, 0, 0, 12, 0, 0, 0, 15, 0, 0, 0, 12, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 7, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 
10, 4, FarmClearings, 36000576, 30, 38, 459, 189, 161, 4521, 32, 30, 494, 0, 30, 135, 0, 3, 61, 138, 0, 52, 22, 79, 357, 3, 0, 0, 510, 28, 2, 44, 385, 49, 122, 0, 0, 3, 0, 7, 0, 0, 0, 0, 171, 128, 0, 249, 325, 85, 1, 1, 1, 0, 0, 0, 0, 12, 962, 
10, 4, FarmClearings, 31703024, 27, 37, 486, 753, 641, 20535, 29, 343, 2174, 0, 147, 545, 0, 119, 473, 590, 2, 101, 156, 459, 1466, 7, 0, 0, 2337, 153, 114, 419, 1942, 208, 528, 0, 3, 3, 0, 57, 0, 0, 0, 0, 602, 532, 0, 1135, 1333, 316, 0, 1, 4, 0, 0, 0, 0, 80, 4157, 
10, 4, FarmClearings, 36200576, 11, 38, 650, 360, 307, 7901, 30, 59, 810, 10, 49, 189, 0, 49, 111, 211, 0, 64, 43, 145, 629, 1, 0, 0, 825, 32, 5, 90, 581, 24, 234, 0, 0, 1, 0, 8, 0, 0, 0, 0, 437, 48, 0, 462, 910, 174, 0, 0, 5, 0, 0, 0, 0, 34, 1631, 
10, 4, FarmClearings, 35900576, 42, 36, 335, 299, 255, 7138, 4, 59, 921, 0, 13, 130, 0, 56, 112, 240, 0, 66, 29, 161, 583, 4, 0, 0, 870, 62, 29, 78, 539, 39, 289, 0, 1, 2, 0, 8, 0, 0, 0, 0, 214, 94, 0, 477, 280, 69, 0, 0, 6, 0, 0, 0, 0, 61, 1642, 
10, 4, FarmClearings, 32803024, 2, 36, 744, 506, 431, 12583, 10, 188, 1480, 0, 55, 290, 0, 40, 241, 436, 0, 41, 148, 336, 941, 19, 0, 8, 1550, 76, 133, 301, 1173, 81, 222, 0, 0, 0, 0, 26, 0, 0, 0, 0, 290, 197, 0, 685, 566, 124, 4, 0, 2, 0, 0, 0, 0, 65, 2855, 
10, 4, FarmClearings, 35900173, 52, 28, 272, 18, 16, 295, 0, 0, 37, 0, 1, 14, 0, 0, 1, 5, 0, 2, 1, 5, 25, 0, 0, 0, 41, 0, 0, 3, 35, 1, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 5, 0, 12, 14, 0, 0, 0, 0, 0, 0, 0, 0, 5, 63, 
10, 4, FarmClearings, 35800428, 45, 34, 312, 40, 35, 912, 0, 14, 85, 0, 13, 24, 0, 5, 4, 39, 0, 5, 9, 6, 66, 0, 0, 0, 78, 4, 0, 13, 92, 7, 29, 0, 0, 0, 0, 1, 0, 0, 0, 0, 56, 12, 0, 53, 91, 31, 0, 0, 0, 0, 0, 0, 0, 0, 175, 
10, 4, FarmClearings, 35800324, 41, 30, 348, 10, 9, 251, 0, 4, 27, 0, 0, 14, 0, 7, 5, 4, 0, 5, 10, 0, 22, 0, 0, 0, 21, 0, 0, 1, 19, 3, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 13, 12, 0, 13, 15, 3, 0, 0, 1, 0, 0, 0, 0, 0, 49, 
10, 4, FarmClearings, 35800512, 59, 30, 209, 46, 40, 1121, 0, 10, 90, 0, 2, 29, 0, 11, 18, 33, 0, 0, 18, 19, 104, 1, 0, 0, 89, 4, 0, 32, 96, 0, 14, 0, 0, 0, 0, 5, 0, 0, 0, 0, 61, 32, 0, 63, 149, 31, 0, 0, 0, 0, 0, 0, 0, 0, 210, 
10, 4, FarmClearings, 31503024, 67, 36, 156, 507, 431, 12333, 0, 183, 1386, 17, 35, 332, 0, 101, 125, 388, 5, 55, 164, 251, 984, 25, 0, 0, 1311, 56, 134, 154, 1062, 97, 386, 0, 1, 2, 0, 11, 0, 0, 0, 0, 484, 253, 0, 743, 790, 245, 4, 0, 0, 0, 0, 0, 0, 28, 2521, 
10, 4, FarmClearings, 31700410, 21, 24, 532, 9, 8, 162, 0, 1, 21, 0, 0, 4, 0, 1, 0, 8, 0, 0, 5, 0, 16, 0, 0, 0, 10, 0, 0, 4, 23, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 4, 0, 8, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 
