EventID,SimulationYear,InitRow,InitColumn,InitialFireWeatherIndex,InitialDayOfYear,IgnitionType,NumberOfDays,TotalSitesBurned,CohortsKilled,MeanWindSpeed,MeanEffectiveWindSpeed,MeanWindDirection,MeanSuppressionEffectiveness,MeanFWI,MeanSpreadProbability,MeanSeverity,TotalBiomassMortality,NumberCellsSeverity1,NumberCellsSeverity2,NumberCellsSeverity3,
1, 1, 524, 661, 16.6634596622014, 70, Rx, 1, 191, 1311, 6.43694569445026, 7.81911891375297, 131.937172774869, 0, 10.38, 0.994764397905759, 0.73, 146373, 140, 0, 0, 
2, 1, 501, 606, 16.3066323031847, 71, Rx, 1, 191, 1443, 11.553619793089, 10.8055298293538, 147.015706806283, 0, 13.63, 0.994764397905759, 0.82, 167775, 156, 0, 0, 
3, 1, 577, 564, 20.5251640474662, 72, Rx, 1, 191, 1448, 16.9167696314136, 16.1417664571985, 138.534031413613, 0, 17.92, 0.994764397905759, 0.77, 138263, 147, 0, 0, 
4, 1, 562, 759, 24.6832304661589, 73, Rx, 1, 191, 1670, 18.0728585528795, 18.0504997346497, 156.439790575916, 0, 21.45, 0.994764397905759, 0.87, 129302, 166, 0, 0, 
5, 1, 592, 626, 14.7824147394971, 76, Rx, 1, 193, 1307, 9.54238674404145, 8.40735647773143, 135.233160621762, 0, 11.71, 0.994818652849741, 0.75, 129626, 145, 0, 0, 
6, 1, 546, 688, 19.8691642012671, 77, Rx, 1, 191, 1302, 15.4784506806283, 16.4431883846928, 136.649214659686, 0, 16.58, 0.994764397905759, 0.76, 150397, 145, 0, 0, 
7, 1, 595, 510, 42.9629223279645, 78, Rx, 1, 191, 1142, 29.4844090806283, 29.4790603489194, 147.015706806283, 0, 34.16, 0.994764397905759, 0.82, 122880, 156, 0, 0, 
8, 1, 631, 547, 31.4142863619525, 79, Rx, 1, 191, 1311, 10.5832888492147, 10.5762561751444, 132.879581151832, 0, 13.86, 0.994764397905759, 0.74, 153726, 141, 0, 0, 
9, 2, 603, 530, 25.6477734078736, 70, Rx, 1, 191, 1405, 16.644739566911, 17.1602242777273, 135.706806282723, 0, 19.11, 0.994764397905759, 0.75, 126099, 144, 0, 0, 
10, 2, 542, 728, 30.8523508875247, 71, Rx, 1, 191, 1184, 22.7291288890052, 22.8717192341243, 134.764397905759, 0, 23.54, 0.994764397905759, 0.75, 156496, 143, 0, 0, 
11, 2, 510, 649, 18.2115899511206, 72, Rx, 1, 191, 1191, 13.0444145264921, 13.7116578968099, 133.821989528796, 0, 13.54, 0.994764397905759, 0.74, 154689, 142, 0, 0, 
12, 2, 462, 657, 22.2385944792433, 73, Rx, 1, 191, 1406, 14.2879879790576, 13.622762547594, 148.900523560209, 0, 18.4, 0.994764397905759, 0.83, 173496, 158, 0, 0, 
13, 2, 613, 539, 23.4383831036671, 74, Rx, 1, 191, 1336, 17.2146436906807, 18.3669003577741, 141.361256544503, 0, 18.36, 0.994764397905759, 0.79, 155787, 150, 0, 0, 
14, 2, 610, 679, 23.8541900741188, 75, Rx, 1, 191, 917, 14.3063705648168, 14.4980438530246, 130.994764397906, 0, 16.37, 0.994764397905759, 0.73, 118630, 139, 0, 0, 
15, 2, 540, 575, 21.2843886093592, 76, Rx, 1, 193, 1389, 12.2478682719171, 13.2741632426311, 131.502590673575, 0, 15.89, 0.994818652849741, 0.73, 142638, 141, 0, 0, 
16, 2, 543, 650, 23.3274790016968, 77, Rx, 1, 191, 981, 16.1501300858639, 15.6392104591941, 131.937172774869, 0, 17.1, 0.994764397905759, 0.73, 146389, 140, 0, 0, 
17, 3, 530, 800, 20.7811863855661, 70, Rx, 1, 191, 964, 14.8574431225131, 14.5923015156386, 132.879581151832, 0, 15.34, 0.994764397905759, 0.74, 153554, 141, 0, 0, 
18, 3, 497, 651, 18.6099080000163, 72, Rx, 1, 191, 1158, 15.5029146596859, 15.7798934341183, 131.937172774869, 0, 13.64, 0.994764397905759, 0.73, 155571, 140, 0, 0, 
19, 3, 489, 672, 23.2657632497911, 73, Rx, 1, 192, 1253, 15.91463514375, 14.8803669672818, 135.9375, 0, 16.99, 0.994791666666667, 0.76, 157850, 145, 0, 0, 
20, 3, 526, 720, 19.1637983816038, 74, Rx, 1, 191, 1122, 14.3751473095288, 15.3147709209011, 135.706806282723, 0, 14.68, 0.994764397905759, 0.75, 142867, 144, 0, 0, 
21, 3, 556, 675, 20.0023038870356, 75, Rx, 1, 192, 1167, 14.302991919375, 16.7241633457069, 134.0625, 0, 15.41, 0.994791666666667, 0.74, 156984, 143, 0, 0, 
22, 3, 522, 665, 18.9795636638813, 76, Rx, 1, 191, 1113, 10.4174873717277, 10.6102069283609, 131.937172774869, 0, 13.33, 0.994764397905759, 0.73, 131424, 140, 0, 0, 
23, 3, 486, 706, 28.3499729720868, 77, Rx, 1, 191, 1330, 19.4984824090052, 20.2216071069756, 136.649214659686, 0, 20.7, 0.994764397905759, 0.76, 183906, 145, 0, 0, 
