SimulationYear,DayOfYear,AttemptedNumberIgnitions,FireWeatherIndex,IgnitionType,
1, 70, 1, 15.7621428949821, Rx, 
1, 71, 1, 17.2186406557305, Rx, 
1, 72, 1, 23.8104470531615, Rx, 
1, 73, 1, 19.9143289256745, Rx, 
1, 76, 1, 17.8268061581113, Rx, 
1, 77, 1, 29.4966756267407, Rx, 
1, 78, 1, 26.5857460454312, Rx, 
1, 79, 1, 21.7268471668457, Rx, 
2, 70, 1, 24.6549110224162, Rx, 
2, 71, 1, 31.4146576571113, Rx, 
2, 72, 1, 18.1831846357474, Rx, 
2, 73, 1, 20.7650699822313, Rx, 
2, 74, 1, 24.1680492003412, Rx, 
2, 75, 1, 22.0867468334749, Rx, 
2, 76, 1, 21.0754306434743, Rx, 
2, 77, 1, 25.9877405395368, Rx, 
3, 70, 1, 19.2994000789829, Rx, 
3, 72, 1, 18.8160390022333, Rx, 
3, 73, 1, 21.224341707322, Rx, 
3, 74, 1, 19.8082529637422, Rx, 
3, 75, 1, 21.2905522033339, Rx, 
3, 76, 1, 18.3706262536702, Rx, 
3, 77, 1, 27.0556421943246, Rx, 
3, 78, 1, 27.4330044897261, Rx, 
4, 70, 1, 28.7448141145526, Rx, 
4, 72, 1, 17.9047093656437, Rx, 
4, 73, 1, 23.4981085633678, Rx, 
4, 74, 1, 24.8460382757381, Rx, 
4, 75, 1, 25.0214820774369, Rx, 
4, 76, 1, 32.2855574058341, Rx, 
4, 77, 1, 54.8388512916569, Rx, 
4, 78, 1, 21.0743432909027, Rx, 
5, 70, 1, 19.0967682131285, Rx, 
5, 71, 1, 20.8233379172041, Rx, 
5, 72, 1, 19.3753825738574, Rx, 
5, 73, 1, 23.9090411189249, Rx, 
5, 74, 1, 15.1313799736809, Rx, 
5, 75, 1, 20.5948355843826, Rx, 
5, 76, 1, 29.8789807403969, Rx, 
5, 77, 1, 23.4748196076334, Rx, 
6, 71, 1, 15.0030321411786, Rx, 
6, 77, 1, 17.8087658912779, Rx, 
6, 78, 1, 28.4448590970327, Rx, 
6, 79, 1, 27.1514474539742, Rx, 
6, 80, 1, 25.2104199381856, Rx, 
6, 81, 1, 32.2334207053467, Rx, 
6, 82, 1, 20.8238533299724, Rx, 
6, 83, 1, 16.9952951214862, Rx, 
7, 72, 1, 16.7123484979238, Rx, 
7, 75, 1, 30.4409722429526, Rx, 
7, 76, 1, 19.3378539357799, Rx, 
7, 78, 1, 20.6147284116312, Rx, 
7, 79, 1, 24.1891088848182, Rx, 
7, 80, 1, 19.683313296099, Rx, 
7, 83, 1, 23.3183715980237, Rx, 
7, 84, 1, 24.292886293119, Rx, 
8, 70, 1, 19.0967682131285, Rx, 
8, 71, 1, 20.8233379172041, Rx, 
8, 72, 1, 19.3753825738574, Rx, 
8, 73, 1, 23.9090411189249, Rx, 
8, 74, 1, 15.1313799736809, Rx, 
8, 75, 1, 20.5948355843826, Rx, 
8, 76, 1, 29.8789807403969, Rx, 
8, 77, 1, 23.4748196076334, Rx, 
9, 70, 1, 19.0967682131285, Rx, 
9, 71, 1, 20.8233379172041, Rx, 
9, 72, 1, 19.3753825738574, Rx, 
9, 73, 1, 23.9090411189249, Rx, 
9, 74, 1, 15.1313799736809, Rx, 
9, 75, 1, 20.5948355843826, Rx, 
9, 76, 1, 29.8789807403969, Rx, 
9, 77, 1, 23.4748196076334, Rx, 
10, 70, 1, 28.7448141145526, Rx, 
10, 72, 1, 17.9047093656437, Rx, 
10, 73, 1, 23.4981085633678, Rx, 
10, 74, 1, 24.8460382757381, Rx, 
10, 75, 1, 25.0214820774369, Rx, 
10, 76, 1, 32.2855574058341, Rx, 
10, 77, 1, 54.8388512916569, Rx, 
10, 78, 1, 21.0743432909027, Rx, 
11, 70, 1, 24.2259281355834, Rx, 
11, 71, 1, 16.4465952240201, Rx, 
11, 72, 1, 15.4311043019273, Rx, 
