SimulationYear,TotalBurnedSitesAccidental,TotalBurnedSitesLightning,TotalBurnedSitesRx,NumberFiresAccidental,NumberFiresLightning,NumberFiresRx,TotalBiomassMortalityAccidental,TotalBiomassMortalityLightning,TotalBiomassMortalityRx,NumberCellsSeverity1,NumberCellsSeverity2,NumberCellsSeverity3,
1, 0, 0, 1530, 0, 0, 8, 0, 0, 1138342, 1196, 0, 0, 
2, 0, 0, 1530, 0, 0, 8, 0, 0, 1174224, 1157, 0, 0, 
3, 0, 0, 1530, 0, 0, 8, 0, 0, 1244020, 1148, 0, 0, 
4, 0, 0, 1533, 0, 0, 8, 0, 0, 1144663, 1199, 16, 0, 
5, 0, 0, 1531, 0, 0, 8, 0, 0, 1131301, 1129, 53, 0, 
6, 0, 0, 1531, 0, 0, 8, 0, 0, 1247177, 979, 180, 0, 
7, 0, 0, 1531, 0, 0, 8, 0, 0, 1237552, 997, 145, 0, 
8, 0, 0, 1529, 0, 0, 8, 0, 0, 1203305, 1094, 77, 0, 
9, 0, 0, 1529, 0, 0, 8, 0, 0, 1322875, 947, 217, 0, 
10, 0, 0, 1530, 0, 0, 8, 0, 0, 1125327, 843, 323, 0, 
11, 0, 0, 1531, 0, 0, 8, 0, 0, 2028365, 182, 985, 0, 
12, 0, 0, 1528, 0, 0, 8, 0, 0, 2049766, 59, 1109, 0, 
13, 0, 0, 1529, 0, 0, 8, 0, 0, 2360959, 46, 1123, 0, 
14, 0, 0, 1531, 0, 0, 8, 0, 0, 1898477, 79, 1120, 0, 
15, 0, 0, 1532, 0, 0, 8, 0, 0, 1895458, 50, 1146, 0, 
16, 0, 0, 1529, 0, 0, 8, 0, 0, 2059408, 66, 1092, 0, 
17, 0, 0, 1532, 0, 0, 8, 0, 0, 2012671, 68, 1093, 0, 
18, 0, 0, 1528, 0, 0, 8, 0, 0, 1431287, 119, 1053, 0, 
19, 0, 0, 1528, 0, 0, 8, 0, 0, 1849014, 53, 1141, 0, 
20, 0, 0, 1531, 0, 0, 8, 0, 0, 1516737, 60, 1121, 0, 
21, 0, 0, 1529, 0, 0, 8, 0, 0, 1500065, 185, 1008, 0, 
22, 0, 0, 1536, 0, 0, 8, 0, 0, 1566624, 67, 1082, 0, 
23, 0, 0, 1529, 0, 0, 8, 0, 0, 1715950, 131, 1043, 0, 
24, 0, 0, 1529, 0, 0, 8, 0, 0, 1270337, 155, 1056, 0, 
25, 0, 0, 1531, 0, 0, 8, 0, 0, 1737769, 99, 1125, 0, 
26, 0, 0, 1530, 0, 0, 8, 0, 0, 1403066, 112, 1043, 0, 
27, 0, 0, 1531, 0, 0, 8, 0, 0, 1403493, 148, 1046, 0, 
28, 0, 0, 1535, 0, 0, 8, 0, 0, 1609943, 139, 1068, 0, 
29, 0, 0, 1528, 0, 0, 8, 0, 0, 1172156, 126, 1044, 0, 
30, 0, 0, 1532, 0, 0, 8, 0, 0, 1855599, 40, 1155, 0, 
31, 0, 0, 1536, 0, 0, 8, 0, 0, 1549912, 200, 968, 0, 
32, 0, 0, 1532, 0, 0, 8, 0, 0, 1571844, 67, 1123, 0, 
33, 0, 0, 1534, 0, 0, 8, 0, 0, 1558575, 125, 1073, 0, 
34, 0, 0, 1528, 0, 0, 8, 0, 0, 1705722, 33, 1126, 0, 
35, 0, 0, 1529, 0, 0, 8, 0, 0, 1395376, 195, 1002, 0, 
36, 0, 0, 1530, 0, 0, 8, 0, 0, 1647341, 223, 1008, 0, 
37, 0, 0, 1532, 0, 0, 8, 0, 0, 1685060, 93, 1096, 0, 
38, 0, 0, 1531, 0, 0, 8, 0, 0, 1746976, 99, 1076, 0, 
39, 0, 0, 1528, 0, 0, 8, 0, 0, 1685793, 46, 1124, 0, 
40, 0, 0, 1528, 0, 0, 8, 0, 0, 1363962, 123, 1036, 0, 
41, 0, 0, 1533, 0, 0, 8, 0, 0, 1089272, 439, 741, 0, 
42, 0, 0, 1529, 0, 0, 8, 0, 0, 1616557, 137, 1026, 0, 
43, 0, 0, 1533, 0, 0, 8, 0, 0, 1716339, 49, 1152, 0, 
44, 0, 0, 1532, 0, 0, 8, 0, 0, 1681964, 181, 1010, 0, 
45, 0, 0, 1529, 0, 0, 8, 0, 0, 1321620, 223, 979, 0, 
46, 0, 0, 1533, 0, 0, 8, 0, 0, 1479178, 170, 997, 0, 
47, 0, 0, 1528, 0, 0, 8, 0, 0, 1496309, 128, 1030, 0, 
48, 0, 0, 1531, 0, 0, 8, 0, 0, 1638032, 262, 927, 0, 
49, 0, 0, 1528, 0, 0, 8, 0, 0, 1227170, 261, 939, 0, 
50, 0, 0, 1533, 0, 0, 8, 0, 0, 1537676, 154, 1010, 0, 
51, 0, 0, 1529, 0, 0, 8, 0, 0, 1149743, 234, 943, 0, 
52, 0, 0, 1529, 0, 0, 8, 0, 0, 1730675, 91, 1086, 0, 
53, 0, 0, 1528, 0, 0, 8, 0, 0, 1411178, 293, 911, 0, 
54, 0, 0, 1534, 0, 0, 8, 0, 0, 1695755, 26, 1126, 0, 
55, 0, 0, 1531, 0, 0, 8, 0, 0, 1243386, 250, 937, 0, 
56, 0, 0, 1530, 0, 0, 8, 0, 0, 1274106, 288, 916, 0, 
57, 0, 0, 1528, 0, 0, 8, 0, 0, 877087, 455, 706, 0, 
58, 0, 0, 1532, 0, 0, 8, 0, 0, 1451744, 181, 984, 0, 
59, 0, 0, 1533, 0, 0, 8, 0, 0, 1669272, 86, 1089, 0, 
60, 0, 0, 1529, 0, 0, 8, 0, 0, 1199722, 257, 901, 0, 
